title,popularity,imdb_id
Star Wars,88.559,tt0076759
Star Wars: The Force Awakens,66.772,tt2488496
Rogue One: A Star Wars Story,33.1,tt3748528
Star Wars: The Last Jedi,47.241,tt2527336
Star Wars: Episode I - The Phantom Menace,46.845,tt0120915
Star Wars: Episode III - Revenge of the Sith,41.215,tt0121766
Star Wars: Episode II - Attack of the Clones,42.55,tt0121765
Star Wars: The Rise of Skywalker,89.699,tt2527338
Solo: A Star Wars Story,55.759,tt3778644
Star Wars: The Clone Wars,19.221,tt1185834
The Star Wars Holiday Special,11.853,tt0193524
LEGO Star Wars Holiday Special,12.071,tt12885438
Robot Chicken: Star Wars,6.272,tt1020990
LEGO Star Wars Terrifying Tales,15.58,tt15164924
Phineas and Ferb: Star Wars,11.461,tt3067144
Empire of Dreams: The Story of the Star Wars Trilogy,10.191,tt0416716
Robot Chicken: Star Wars Episode III,6.542,tt1691338
Star Wars Rebels: Spark of Rebellion,8.233,tt3816564
LEGO Star Wars: The Padawan Menace,7.124,tt2005268
Robot Chicken: Star Wars Episode II,6.848,tt1334272
Doraemon: Nobita's Little Star Wars 2021,14.778,tt13740078
LEGO Star Wars: The Empire Strikes Out,7.995,tt2402600
Star Wars Rebels: The Siege of Lothal,6.756,tt4236890
LEGO Star Wars Summer Vacation,12.282,tt20784210
Star Wars Biomes,6.491,tt14578676
Star Wars: The Legacy Revealed,3.689,tt1039988
Star Wars Rebels: Steps Into Shadow,7.189,
Battle Star Wars,4.99,tt11518196
Doraemon: Nobita's Little Star Wars,6.69,tt0313990
The Making of Star Wars,5.655,tt0295414
Star Wars XXX: A Porn Parody,14.017,tt2059288
LEGO Star Wars: The Quest for R2-D2,3.318,tt1509637
Star Wars: Greatest Moments,2.643,tt5312326
LEGO Star Wars: Revenge of The Brick,2.911,tt2008565
LEGO Star Wars: Bombad Bounty,2.201,tt1808255
Plastic Galaxy: The Story of Star Wars Toys,3.097,tt3648510
Star Wars: The Clone Wars - Darth Maul Returns,3.633,
The Story of Star Wars,2.135,tt0913432
Star Wars: Heroes & Villains,1.312,tt1970025
From 'Star Wars' to 'Jedi' : The Making of a Saga,2.785,tt0295270
Star Wars: Within a Minute - The Making of Episode III,1.95,tt0491707
Star Wars: Deleted Magic,1.699,
Star Wars: A Musical Journey,2.147,tt0459164
Star Wars: Droids - The Great Heep,1.812,tt0814126
Star Wars: Evolution of the Lightsaber Duel,2.149,tt6289242
Star Wars Spoofs,1.325,tt2208120
Star Wars Kid: The Rise of the Digital Shadows,1.4,tt21241940
The Characters of Star Wars,1.751,tt0427053
When Star Wars Ruled the World,3.135,tt1003294
Star Wars: The Last Temptation,2.183,tt7773358
Star Wars Tech,2.044,tt1041244
Quentin Tarantino's Star Wars,0.84,tt0216129
Star Wars Underworld: A XXX Parody,4.074,tt6465172
The Stories: The Making of 'Rogue One: A Star Wars Story',2.681,tt6821234
Star Wars : L'incroyable Légende,1.756,
From Star Wars to Star Wars: The Story of Industrial Light & Magic,1.892,tt0220472
Star Wars: Droids - Treasure of the Hidden Planet,1.163,tt0952689
Star Wars Begins: A Filmumentary,1.033,tt4644286
Star Wars: Ewoks - Tales from the Endor Woods,1.534,tt1117537
Star wars 40 ans,0.6,
Star Wars: Ewoks - The Haunted Village,1.226,tt1117520
Star Wars: The Clone Wars - The Nightsisters Trilogy,0.6,
Star Wars: Galaxy's Edge - Adventure Awaits,1.886,tt10951528
Star Wars: Music by John Williams,1.563,tt1113745
The Definitive History of Star Wars,0.824,tt7441074
Ken Loach's Star Wars,0.959,tt6282542
How Star Wars Was Saved in the Edit,0.725,tt7768392
The Stars of Star Wars,0.6,tt0214158
The Mythology of Star Wars,0.757,tt0458432
WCCW Christmas Star Wars '84,1.4,
Star Wars : La Révolution Visuelle,0.6,
Star Wars: Droids - The Pirates and the Prince,0.919,tt0940894
WCCW Star Wars (February 1981),0.919,
Star Wars: A XXX Gay Parody,2.421,tt6044124
The Secret of Star Wars,0.6,
How Star Wars Changed the World,0.985,tt5301770
The Unauthorized 'Star Wars' Story,0.73,tt0219372
K-1 Star Wars '96,0.6,
Robot Chicken: Star Wars Trilogy,0.653,
Star Wars Dreams,0.6,
The Galaxy Britain Built: The British Force Behind Star Wars,1.216,tt7809982
A Star Wars Story - Collection,1.4,
Star Wars: Macbeth,0.0,
Star Wars: The Clone Wars,0.0,
Star Wars: Rebels,0.0,
Harmy's Despecialized Edition: Star Wars,0.6,
Star Wars: The Acolyte,1.4,tt12262202
Star Wars SC 38 Reimagined,0.6,tt11328926
Star Wars Comedy Skit,0.6,
Star Wars: Droids - The Battle Against Sise Fromm,0.742,
Star Wars: Episode III - Making the Game,0.6,tt5464576
Star Wars vs. Star Trek: The Rivalry Continues,0.993,
Star Wars: The Force and the Fury,0.627,tt6683598
A Disturbance in the Force: How the Star Wars Holiday Special Happened,1.794,tt13021790
Star Wars: Threads of Destiny,1.374,tt2275656
KENOBI - A Star Wars Story,0.6,
STAR WARS: OUTSIDER,0.6,
Pro Wrestling USA: Star Wars 1985,0.6,
Hollywood Rivals: Star Wars vs. Star Trek,0.6,tt8263928
Star Wars at the BBC,0.6,tt5280768
Making Of à la manière de Star Wars: La Guerre Des Peaux,0.6,
Star Wars: Millennium Falcon - Smuggler's Run,0.6,
Star Wars: Rise of the Resistance,0.6,
Star Wars: Lando,0.84,tt21036026
Star Wars : Hunter's Revenge,0.6,
Star Wars Rebels: Heroes of Mandalore,1.532,
All My Star Wars Cards,0.6,
Star Wars Resistance: The Recruit,0.6,tt8362438
"Untitled ""First Force Users"" Star Wars Film",0.6,tt27485223
Untitled New Republic Era Star Wars Film,0.6,tt27485150
Untitled Donald Glover Star Wars Film,0.6,
DOOKU A Star Wars Story: Becoming Darth Tyranus,0.0,
Making of Star Wars Revenge of the Sith,0.6,
The Making of Star Wars Attack of the Clones,0.6,
The Making of Star Wars - The Phantom Menace,0.6,
Saving Star Wars,0.6,tt0387563
LEGO Star Wars: Mandoween - Celebrate The Season,0.804,
Star Wars Episode V 1/2: The Han Solo Affair,0.6,tt0345371
Musk Vs Bezos: The New Star Wars,0.6,tt21992058
Icons Unearthed: Star Wars,0.6,
Star Wars: Rebels - Art Attack,1.113,
Untitled Shawn levy Star Wars movie,0.6,
Star Wars: Revelations,0.627,tt0457489
Hollywood's Master of Myth: Joseph Campbell - The Force Behind Star Wars,0.841,tt1313081
Star Wars Episode III - Revenge of the Sith Ultimate Edition,0.6,
STAR WARS 10K - Episode spécial Saint Valentin,1.4,
Star Wars: The Gay Force Awakens,0.6,
Star Wars Uncut,0.0,tt2199603
Star Wars: Episode III - Labyrinth of Evil,0.6,
Star Wars: Episode IX - The Rise of Skywalker: Ascendant,0.6,
Star Wars: Episode VIII - The Last Jedi: Legendary,0.6,
Star Wars: Episode VII - The Force Awakens: Restructured,0.6,
Star Wars: Episode II - The Approaching Storm,0.6,
Star Wars The Clone Wars: The Siege Of Mandalore Arc,0.6,
STAR WARS 10KK,1.4,
Star Wars: Clone Wars Volume One,1.4,tt28641574
Star Wars Jedi: Fallen Order,0.6,
PWUSA Star Wars,0.6,
The Spectacular Failure of the Star Wars Hotel,0.0,
The Untitled Star Wars Mockumentary,0.6,tt0466264
Star Wars: Clone Wars Volume Two,0.6,tt28642141
Built by Jedi - The Making of Star Wars Jedi: Fallen Order,0.646,tt11616456
Pro Wrestling USA Star Wars: December 1984,0.6,
WCCW Christmas Star Wars 1981,0.6,tt19818258
Fallen Angel: A Star Wars Story,0.6,
WCCW Christmas Star Wars '83,0.6,
WCCW Thanksgiving Star Wars '84,0.6,
Star Wars Jedi: Survivor,0.0,
Star Wars The Bounty,0.6,
The Dark Resurgence: A Star Wars Story,0.6,tt5508566
Star Wars - The Race,0.6,
Star Wars: The Bad Batch – Aftermath,0.6,
Star Wars 10K,0.6,
Scout: A Star Wars Story,0.656,tt6401992
